,time,O,C,H,L,volume,amount,r_1,r_5,r_10,k,rsi,x_1,x_2,y_pred
0,2016-04-05 09:31:00,5847.682,6039.6330000000025,6081.973000000001,5841.413000000001,19714.0,23850655840.0,0.004855593046795605,0.001756066966320446,-0.00834173202245948,82.69993804,68.97456684,1.341530256559579,1.2948888705874009,-0.003254645751574698
1,2016-04-06 09:31:00,6043.935,6068.959,6081.875,6014.493,15277.0,18742929000.0,-0.012160569876976005,0.00896990735973008,-0.06580865021497087,85.14072076,70.07949009,1.4575715232047544,1.37282229240451,-0.003484674173698952
2,2016-04-07 09:31:00,6086.72,5995.156999999997,6124.163000000001,5980.401999999999,18110.0,22227122520.0,-0.008350740439323753,0.031855546068268466,-0.055354013247692783,83.57794302,63.66069577,1.3832729357276667,0.9200862265304114,-0.002148377621545016
3,2016-04-08 09:31:00,5959.772,5945.093000000003,5961.5859999999975,5870.444,18699.0,22500336600.0,0.020311372757330613,0.034555893406545066,-0.03645779805294915,80.70806757,59.50158044,1.246831465701242,0.6267318334547887,-0.0012825122894572938
4,2016-04-11 09:31:00,5997.516,6065.846,6139.763000000001,5997.516,18922.0,23383634400.0,-0.0025729304700446,-0.00806845409527362,-0.06155645890119814,81.67486256,65.59994788,1.2927954568039854,1.0568672678365376,-0.002552100778754742
5,2016-04-12 09:31:00,6057.863,6050.239000000001,6082.302,5964.3830000000025,19089.0,23366282040.0,0.012091753730720146,-0.010080097662257951,-0.04729168550201092,82.00576604,64.19439670000001,1.3085274835189635,0.9577296915420079,-0.002259486137737566
6,2016-04-13 09:31:00,6096.661,6123.397,6238.16,6089.598000000001,23494.0,29419919400.0,0.010245783508728828,-0.07411376397773974,-0.06231573749015454,82.04526732,67.82934316,1.3104054788553552,1.214112943274457,-0.003016227385330952
7,2016-04-14 09:31:00,6160.271,6186.1359999999995,6195.126,6118.401999999999,19038.0,23733607160.0,-0.0057556122270832006,-0.08451721720957962,-0.07672996519960107,83.69611450000002,70.69916721,1.388891120463314,1.4165299059273242,-0.0036136816410864865
8,2016-04-15 09:31:00,6158.719,6150.531,6173.956,6096.231,19669.0,24405029320.0,-0.02172609161713021,-0.06864171565024209,-0.06941725844483987,83.78998665,66.8895649,1.3933540507763835,1.1478276736404545,-0.0028205796692615543
9,2016-04-18 09:31:00,6100.105,6016.904,6100.105,5956.865,16268.0,19602558240.0,-0.0045957189943534,-0.053923080707287005,-0.009784433987978371,79.46121432,54.49205946,1.1875527641334702,0.273395878549326,-0.00023960527611700507
10,2016-04-19 09:31:00,6064.429,5989.2519999999995,6064.429,5947.105,15288.0,18482177720.0,-0.053376114412951585,-0.03759050378912079,-0.00778360970618693,74.97525777,52.23808991,0.9742785239023596,0.11441690901178615,0.0002296373243103231
11,2016-04-20 09:31:00,6018.469,5669.569,6043.361999999999,5606.98,21027.0,24690130400.0,-0.001105551409639946,0.012742414811425644,0.060205281918254624,64.1320796,33.96554718,0.4587651523122325,-1.174398201221652,0.004033706224462352
12,2016-04-21 09:31:00,5675.065,5663.3009999999995,5791.615,5647.809,17547.0,20277156480.0,0.011485704185598009,0.008506169811564084,0.01823265265257867,54.93058768,33.70548686,0.02130188748620502,-1.1927410052276792,0.0040878468763734495
13,2016-04-22 09:31:00,5634.368,5728.348000000001,5728.348000000001,5612.89,16488.0,18934849840.0,-0.006266029926952486,-0.0008327008065851509,-0.034592346694020865,48.98028076,39.14526074,-0.2615914427010703,-0.8090580730604616,0.002955367672655789
14,2016-04-25 09:31:00,5692.599,5692.454000000002,5700.709,5565.614000000001,16122.0,18442460520.0,0.012588419686834149,0.04665439545053765,-0.03067007656100557,43.96018005,37.24789066,-0.5002603091681139,-0.9428850540637136,0.0033503716203853425
15,2016-04-26 09:31:00,5697.637,5764.113,5773.065,5643.218000000003,16372.0,18950390680.0,-0.003868765237600336,0.03097111385567905,-0.045986954107249074,41.55257689,43.40852332,-0.6147241317673366,-0.5083578742328627,0.0020678204476528073
16,2016-04-27 09:31:00,5767.411,5741.813,5808.4619999999995,5712.784000000002,15348.0,17907444680.0,-0.0052838711396557035,0.04686568510677678,-0.03761669005939418,38.99361453,41.96613365,-0.7363839710961435,-0.6100937754158186,0.002368104308887895
17,2016-04-28 09:31:00,5748.474,5711.474,5758.475,5605.177,17368.0,20004638400.0,0.002119242773406702,0.009644445549432728,-0.03741836170487688,36.10930142,39.93512609,-0.8735118456681524,-0.753346593099959,0.0027909295724066353
18,2016-04-29 09:31:00,5687.922,5723.578,5763.268,5676.4140000000025,14982.0,17385777040.0,0.04096283828052959,-0.033787780999927075,-0.021301710223919457,34.27326585,41.21209606,-0.9608018331801904,-0.6632782201882736,0.002525083607721616
19,2016-05-03 09:31:00,5735.736999999999,5958.031999999997,5961.518,5677.935,18623.0,22052935600.0,-0.002584410422770039,-0.07387775023699061,-0.062191844555382986,39.31207979,59.8245075,-0.7212432902604136,0.6495088098494285,-0.0013497408522312455
20,2016-05-04 09:31:00,5936.946999999999,5942.634,5987.273,5920.523,14408.0,17305922160.0,0.011488676570018851,-0.0746461922440449,-0.08439271205327444,44.51642285,58.45705946,-0.4738150551332692,0.5530587578532392,-0.0010650587125639864
21,2016-05-05 09:31:00,5935.109,6010.906999999997,6015.305,5919.472,14893.0,17944307280.0,-0.04065093670555819,-0.08070030030409682,-0.09631791009243634,51.97538076,62.70887463,-0.11919646633505993,0.8529515378558256,-0.0019502227587717793
22,2016-05-06 09:31:00,5987.831,5766.558000000001,6036.448,5758.453,21150.0,25142606600.0,-0.040989269508778216,-0.04661324831901468,-0.0468471833631086,50.32292863,44.40857871,-0.1977584115112856,-0.4378210848682226,0.0018596239386205683
23,2016-05-09 09:31:00,5711.34,5530.191,5711.34,5514.318,20359.0,23021165200.0,-0.002228675284452168,0.012922700138205016,0.013228657021068723,42.44244844,33.70456523,-0.5724172844730775,-1.1928060104482219,0.004088038745894415
24,2016-05-10 09:31:00,5540.124,5517.866,5575.228,5504.945,16020.0,17951386680.0,-0.003412007468104064,0.012618102723045468,-0.0023181063113892524,35.77387878,33.23464568,-0.8894587252032015,-1.2259507908755107,0.004185868936916136
25,2016-05-11 09:31:00,5563.218000000003,5499.0390000000025,5603.397,5479.541,18074.0,20335777880.0,0.00487103292047889,-0.010532749449494895,-0.0058033776447125145,30.39508618,32.45698614,-1.1451807528999969,-1.280801359872877,0.0043477659708830415
26,2016-05-12 09:31:00,5453.343000000002,5525.825,5535.32,5364.803000000001,19684.0,21799998760.0,-0.005078879624309421,-0.016988594463269897,0.0029324128071375106,29.3249505,34.89530309,-1.196057833752731,-1.108819836823057,0.0038401450111038684
27,2016-05-13 09:31:00,5494.656999999998,5497.76,5606.528,5465.632,18358.0,20587853360.0,0.01889787840866093,-0.0002453726608655452,0.0104589869328598,27.73674632,33.47104517,-1.2715652614431248,-1.2092768534128688,0.004136654114370157
28,2016-05-16 09:31:00,5463.199000000001,5601.656,5609.185,5457.507,19357.0,21749470280.0,-0.0025287165081183073,0.0003020535355974942,-0.008896654846352622,28.99139052,43.13686691,-1.2119161575044408,-0.5275185838928788,0.002124375231301571
29,2016-05-17 09:31:00,5592.149,5587.491,5634.765,5529.361999999999,20427.0,23202930400.0,-0.0261963732916972,-0.014750090872629625,0.05073368350839405,29.68542718,42.19654783,-1.1789198188854149,-0.5938419991204216,0.0023201355379705913
30,2016-05-18 09:31:00,5527.114000000001,5441.1190000000015,5532.555,5377.353,22170.0,24552137040.0,-0.0016853150978686682,0.00477971534899323,0.07379842271415096,26.63161434,33.66544788,-1.324106158966888,-1.1955650699013718,0.004096182390530532
31,2016-05-19 09:31:00,5414.9969999999985,5431.949000000001,5532.267,5414.9969999999985,22900.0,25444267080.0,0.011867195365788341,0.020265285995873485,0.08018263794450149,23.85921954,33.19247992,-1.4559131410453658,-1.2289248634731498,0.0041946472147200205
32,2016-05-20 09:31:00,5380.105,5496.411,5515.634,5365.105,20547.0,22725524680.0,0.019455786694263004,0.010706986795565223,0.07898845264664528,23.14849549,39.87290997,-1.489702842324958,-0.7577348753845279,0.0028038820339593186
33,2016-05-23 09:31:00,5554.103,5603.348000000001,5650.924,5547.431,15421.0,17302724080.0,-0.017538264623221868,-0.009195930718563464,0.05308022989112915,25.20983463,49.32906745,-1.3917013271426155,-0.09076483048969,0.0008352521001762631
34,2016-05-24 09:31:00,5543.781,5505.075,5553.215,5452.334,15990.0,17764210320.0,-0.006893457400671129,0.06646412628347485,0.07797841083000688,27.75456508,42.43019267,-1.270718110460162,-0.5773623550626912,0.00227149419217334
35,2016-05-25 09:31:00,5560.335,5467.126,5586.562,5460.6359999999995,15750.0,17581659240.0,0.01370061710668462,0.06869038686871305,0.08095130787181401,29.08916133,39.99992992,-1.2072678745825902,-0.7487757921698903,0.002777438388505392
36,2016-05-26 09:31:00,5464.573,5542.029,5542.143,5376.975,18891.0,20793762520.0,0.002387573215513499,0.058727227879897065,0.01701452662914629,34.56445562,46.76990211,-0.9469579012857048,-0.27127013883752793,0.0013680318793285974
