,time,open,close,high,low,volume,amount
0,2015-04-16 09:16:00,7672.641,7697.728,7784.564,7483.879,123400.0,189216885320.0
1,2015-04-17 09:16:00,7708.439,7739.58,7891.666,7622.946999999999,122985.0,191635312000.0
2,2015-04-20 09:16:00,7743.993,7594.931,7833.929,7558.812,105223.0,162333422400.0
3,2015-04-21 09:16:00,7623.478,8122.675999999998,8130.403,7616.232,140591.0,221869795080.0
4,2015-04-22 09:16:00,8142.62,8172.31,8219.138,8089.996,129489.0,211309915000.0
5,2015-04-23 09:16:00,8170.395,8246.455,8354.218,8141.113,139023.0,229558918680.0
6,2015-04-24 09:16:00,8225.123,8300.264000000001,8322.649,8100.57,134275.0,220605472280.0
7,2015-04-27 09:16:00,8328.322,8319.613000000001,8525.456,8268.138,134864.0,226424321880.0
8,2015-04-28 09:16:00,8290.641,8117.745,8389.462,7987.871,174786.0,286178179240.0
9,2015-04-29 09:16:00,8100.519,8271.152,8276.193000000001,8052.581,140764.0,231319303960.0
10,2015-04-30 09:16:00,8281.464,8306.415,8377.606,8263.099,126204.0,210699647080.0
11,2015-05-04 09:16:00,8335.574,8307.981,8451.178,8171.861,106885.0,177519927840.0
12,2015-05-05 09:16:00,8292.419,8103.399,8300.283000000001,8049.959,117520.0,192995502400.0
13,2015-05-06 09:16:00,8133.916,7998.1590000000015,8235.747,7927.973000000001,120648.0,197029501560.0
14,2015-05-07 09:16:00,7975.321999999999,7875.035,8018.798000000002,7867.142,118502.0,188597150680.0
15,2015-05-08 09:16:00,7905.089,8133.173000000002,8133.173000000002,7891.641,134940.0,216381243000.0
16,2015-05-11 09:16:00,8135.931,8442.292,8458.013,8107.936,142622.0,236710560640.0
17,2015-05-12 09:16:00,8439.946,8591.582,8594.213,8361.997,184095.0,313054282680.0
18,2015-05-13 09:16:00,8528.295,8611.508,8691.142,8428.671999999999,247615.0,427227347400.0
19,2015-05-14 09:16:00,8575.609,8638.494,8704.395,8528.72,249109.0,430656813600.0
20,2015-05-15 09:16:00,8611.776,8595.259,8698.53,8486.488000000001,222561.0,382655074600.0
21,2015-05-18 09:16:00,8725.471,8881.655,8905.784,8664.271,208858.0,365275553000.0
22,2015-05-19 09:16:00,8772.442,9097.725,9129.624,8705.581,237774.0,424557822840.0
23,2015-05-20 09:16:00,9094.331,9264.658,9442.533,9091.784,248883.0,464176857560.0
24,2015-05-21 09:16:00,9289.992,9712.814,9730.669,9289.992,266715.0,506787564400.0
25,2015-05-22 09:16:00,9749.616,9719.758,9844.696,9504.66,296582.0,574432164760.0
26,2015-05-25 09:16:00,9592.438,9941.906,9993.245,9435.001,272067.0,535360569760.0
27,2015-05-26 09:16:00,9961.305,10509.595,10512.079,9961.305,269500.0,553914224400.0
28,2015-05-27 09:16:00,10556.45,10547.973,10708.096,10351.12,323732.0,681172933320.0
29,2015-05-28 09:16:00,10578.749,9979.378,10758.325,9837.166,386694.0,805589395600.0
30,2015-05-29 09:16:00,10105.786,10131.374,10372.672,9904.279,378946.0,770176107200.0
31,2015-06-01 09:16:00,10216.725,11027.861,11084.128,10187.841,274617.0,581849887520.0
32,2015-06-02 09:16:00,11038.853,11280.533,11420.738,10868.867,301198.0,668653779360.0
